Listing,Company,Location,Job Type,Post Date,Link,Experience,Soft Skills,Qualifications
Especialista I em Estratégia de Concessão de Crédito PF,Grupo Boticário,"Remote:Brazil, French Polynesia",Full remote,3 days ago,https://jobgether.com/offer/666b88247f4fdab8dd6b5adc-especialista-i-em-estrategia-de-concessao-de-credito-pf,,"Analytical and creative thinking, Excellent communication and interpersonal skills"," Qualifications:  Bachelor's degree in Exact Sciences, Solid knowledge in credit portfolio management, policies and strategies, statistics, data analytics, and SQL. "
Estágio Nível Superior | Gerenciamento de Projetos,Oi,"Remote:Brazil, Delaware (USA)",Full remote,3 days ago,https://jobgether.com/offer/666b570f7f4fdab8dd67ec93-estagio-nivel-superior-gerenciamento-de-projetos,,"Team player, Proactive mindset, Analytical thinking"," Qualifications:  Currently pursuing degree in Production Engineering, Project Management, Administration, Systems or related fields, Knowledge and affinity with technology and digital applications. "
Vendedor(a) | Remoto | Empresa de Portugal,Sales Leaders Group,Remote:Portugal,Full remote,3 days ago,https://jobgether.com/offer/666b88307f4fdab8dd6b5def-vendedor-a-remoto-empresa-de-portugal,,"Results-oriented time management, High energy and communication skills, Desire for personal growth and development, Active listening with feedback acceptance, Ability to inspire conversation about travels"," Qualifications:  High School Diploma, CRM proficiency, Remote work skills, Fluent/advanced English, Sales experience in travel industry. "
Analista de Sucesso do Cliente - Canais,Checklist Fácil,"Remote:Brazil, Delaware (USA)",Full remote,3 days ago,https://jobgether.com/offer/666b570f7f4fdab8dd67ec8b-analista-de-sucesso-do-cliente---canais,,"Team player, proactive mindset, Excellent communication and analytical thinking"," Qualifications:  Empathy and customer focus, Experience in SaaS software, Proactive, good relationship skills. "
Estagiário(a) - Central de Operações,CIEE - Centro de Integração Empresa-Escola,"Remote:Brazil, Delaware (USA)",Full remote,3 days ago,https://jobgether.com/offer/666b500b7f4fdab8dd66fcb9-estagiario-a---central-de-operacoes,,"Good communication skills, Focused and proactive mindset"," Qualifications:  Currently enrolled in Business Administration, Marketing, or HR Management, Proficiency in Microsoft Office/G-Suite and familiarity with computer systems, Good verbal and written communication skills. "
Engenheiro de Dados GCP Sênior,Leega,"Remote:Brazil, Delaware (USA)",Full remote,3 days ago,https://jobgether.com/offer/666b490d7f4fdab8dd6620f1-engenheiro-de-dados-gcp-senior,,," Qualifications:  Proactive and communicative profile, 3+ years experience as a data engineer in GCP. "
Desenvolvedor Full Stack Pleno,Leega,Remote:Brazil,Full remote,3 days ago,https://jobgether.com/offer/666b490d7f4fdab8dd6620eb-desenvolvedor-full-stack-pleno,,"Team collaboration, Proactive attitude, Quality-oriented mindset"," Qualifications:  Object-Oriented Programming, Java 17+, SpringBoot, REST API Design, SQL or NoSQL Databases, Microservices Architecture. "
Full Stack Engineer Node & React- LLM Project,Yo Hr Consultancy,Fixed term38 - 58KRemote:Malaysia,Full remote,3 days ago,https://jobgether.com/offer/666b490d7f4fdab8dd6620bd-full-stack-engineer-node-react--llm-project,Mid-level (2-5 years),"Strong communication skills, Attention to detail, Collaborative team player"," Qualifications:  Bachelor’s/Master’s degree in Engineering, Computer Science or relevant experience, 3+ years experience in full-stack engineering, React.js, Node.js, Javascript/Typescript. "
Full Stack Engineer Node & React- LLM Project,Yo Hr Consultancy,Fixed term38 - 58KRemote:United Kingdom,Full remote,3 days ago,https://jobgether.com/offer/666b490d7f4fdab8dd6620b9-full-stack-engineer-node-react--llm-project,Mid-level (2-5 years),"Team player, Excellent communication skills"," Qualifications:  Bachelor's/Master's degree in Engineering, Computer Science or equivalent, 3+ years experience in full-stack engineering, React.js, and Node.js, Experience developing web apps with modular development and scalable architectures. "
Full Stack Engineer Node & React- LLM Project,Yo Hr Consultancy,Fixed term38 - 58KRemote:Saudi Arabia,Full remote,3 days ago,https://jobgether.com/offer/666b490d7f4fdab8dd6620b5-full-stack-engineer-node-react--llm-project,Mid-level (2-5 years),"Team player, Excellent communication skills"," Qualifications:  Bachelor’s/Master’s degree in Engineering, Computer Science or equivalent, 3+ years experience in React.js, Node.js, and Javascript/Typescript. "
Full Stack Engineer Node & React- LLM Project,Yo Hr Consultancy,Fixed term38 - 58KRemote:United Arab Emirates,Full remote,3 days ago,https://jobgether.com/offer/666b490d7f4fdab8dd6620b1-full-stack-engineer-node-react--llm-project,Mid-level (2-5 years),"Team player, Excellent communication skills, Analytical thinking"," Qualifications:  Bachelor’s/Master’s degree in Engineering, Computer Science, 3+ years experience as a full-stack engineer and web application development, Proficiency with JavaScript ES6, React.js, and Node.js. "
Full Stack Engineer Node & React- LLM Project,Yo Hr Consultancy,Fixed term38 - 58KRemote:Germany,Full remote,3 days ago,https://jobgether.com/offer/666b490d7f4fdab8dd6620ab-full-stack-engineer-node-react--llm-project,Mid-level (2-5 years),"Team player, Excellent communication skills"," Qualifications:  Bachelor’s/Master’s degree in Engineering, Computer Science or equivalent, 3+ years experience in full-stack development with React.js and Node.js. "
Full Stack Engineer Node & React- LLM Project,Yo Hr Consultancy,Fixed term38 - 58KRemote:Switzerland,Full remote,3 days ago,https://jobgether.com/offer/666b490d7f4fdab8dd6620a5-full-stack-engineer-node-react--llm-project,Mid-level (2-5 years),"Excellent spoken and written communication skills, Analytical thinking, proactive problem-solving"," Qualifications:  Bachelor’s/Master’s degree in Engineering, Computer Science or equivalent, 3+ years experience in full-stack engineering with React.js and Node.js. "
Full Stack Engineer Node & React- LLM Project,Yo Hr Consultancy,Fixed term38 - 58KRemote:Philippines,Full remote,3 days ago,https://jobgether.com/offer/666b490d7f4fdab8dd6620a1-full-stack-engineer-node-react--llm-project,Mid-level (2-5 years),"Collaborative team player, Excellent English communication skills"," Qualifications:  Bachelor’s/Master’s degree in Engineering, Computer Science or equivalent, 3+ years of experience in full-stack engineering, React.js, Node.js, and Javascript or Typescript. "
Full Stack Engineer Node & React- LLM Project,Yo Hr Consultancy,Fixed term38 - 58KRemote:Brazil,Full remote,3 days ago,https://jobgether.com/offer/666b490d7f4fdab8dd66209b-full-stack-engineer-node-react--llm-project,Mid-level (2-5 years),"Team player, Excellent communication skills"," Qualifications:  Bachelor’s/Master’s degree in Engineering, Computer Science or equivalent, 3+ years experience as a full-stack engineer with React.js and Node.js. "
Full Stack Engineer Node & React- LLM Project,Yo Hr Consultancy,Fixed term38 - 58KRemote:New Zealand,Full remote,3 days ago,https://jobgether.com/offer/666b490d7f4fdab8dd662097-full-stack-engineer-node-react--llm-project,Mid-level (2-5 years),"Write readable and maintainable code, Strong communication skills"," Qualifications:  Bachelor’s/Master’s degree in Engineering or Computer Science, 3+ years experience as full-stack engineer, React.js and Node.js, Proficiency with JavaScript ES6, modular development, and scalable architectures. "
Full Stack Engineer Node & React- LLM Project,Yo Hr Consultancy,Fixed term38 - 58KRemote:Mexico,Full remote,3 days ago,https://jobgether.com/offer/666b490d7f4fdab8dd66208e-full-stack-engineer-node-react--llm-project,Mid-level (2-5 years),"Team player, Excellent communication skills"," Qualifications:  Bachelor’s/Master’s degree in Engineering, Computer Science, 3+ years experience as a full-stack engineer in React.js and Node.js. "
Full Stack Engineer Node & React- LLM Project,Yo Hr Consultancy,Fixed term38 - 58KRemote:Argentina,Full remote,3 days ago,https://jobgether.com/offer/666b490c7f4fdab8dd662087-full-stack-engineer-node-react--llm-project,Mid-level (2-5 years),"Team player, Excellent communication skills"," Qualifications:  Bachelor’s/Master’s degree in Engineering, Computer Science or equivalent, 3+ years experience as full-stack engineer in React.js and Node.js. "
Full Stack Engineer Node & React- LLM Project,Yo Hr Consultancy,Fixed term38 - 58KRemote:France,Full remote,3 days ago,https://jobgether.com/offer/666b490c7f4fdab8dd66207b-full-stack-engineer-node-react--llm-project,Mid-level (2-5 years),"Excellent communication skills, Analytical thinking"," Qualifications:  Bachelor’s/Master’s degree in Engineering, Computer Science or equivalent, 3+ years experience in full-stack engineering, React.js, Node.js and Javascript or Typescript. "
Full Stack Engineer Node & React- LLM Project,Yo Hr Consultancy,Fixed term38 - 58KRemote:Italy,Full remote,3 days ago,https://jobgether.com/offer/666b490c7f4fdab8dd662077-full-stack-engineer-node-react--llm-project,Mid-level (2-5 years),"Team player, Excellent communication skills"," Qualifications:  Bachelor’s/Master’s degree in Engineering, Computer Science or equivalent, 3+ years experience in full-stack development with React.js and Node.js, Proficiency in JavaScript/TypeScript and modular development. "
Full Stack Engineer Node & React- LLM Project,Yo Hr Consultancy,Fixed term38 - 58KRemote:Netherlands,Full remote,3 days ago,https://jobgether.com/offer/666b490c7f4fdab8dd662071-full-stack-engineer-node-react--llm-project,Mid-level (2-5 years),"Write readable, reusable, maintainable code, Participate in code reviews, Excellent communication skills"," Qualifications:  Bachelor’s/Master’s degree in Engineering, Computer Science or equivalent experience, 3+ years experience in React.js, Node.js, and Javascript/Typescript. "
Pessoa Assistente Comercial (SDR) - Vaga afirmativa para pessoas com deficiência - Cód.3041,Softplan,Remote:Brazil,Full remote,3 days ago,https://jobgether.com/offer/666b490d7f4fdab8dd6620d7-pessoa-assistente-comercial-sdr---vaga-afirmativa-para-pessoas-com-deficiencia---cod.3041,,"Effective team player and communicator, Proactive approach to multitasking efficiently"," Qualifications:  Experience in sales, pre-sales, or legal field, Effective communication skills (verbal and written), Organizational skills and time management. "
PESSOA  DESENVOLVEDORA MOBILE IOS - SR - RHA1386,Spread Tecnologia,"Remote:Suriname, Brazil",Full remote,3 days ago,https://jobgether.com/offer/666b50127f4fdab8dd66ff99-pessoa-desenvolvedora-mobile-ios---sr---rha1386,Mid-level (2-5 years),," Qualifications:  Experience in high-performance app development, Knowledge of responsive and adaptive user interface programming, Experience with backend services and RESTful API integration, Active participation in the iOS developer community. "
Analista de Projetos Sr,Escola Conquer,"Remote:Suriname, Brazil",Full remote,3 days ago,https://jobgether.com/offer/666b50047f4fdab8dd66fa53-analista-de-projetos-sr,Mid-level (2-5 years),"Strong negotiation and conflict resolution skills, Organized, proactive with sense of urgency, Clear communication, quick learner, decisive"," Qualifications:  Minimum 3 years project management experience, Experience in client presentations and boards, Advanced English or Spanish. "
Pessoa Analista de Desenvolvimento Backend Sênior,Akross,"Remote:Brazil, Delaware (USA)",Full remote,3 days ago,https://jobgether.com/offer/666b490d7f4fdab8dd6620c9-pessoa-analista-de-desenvolvimento-backend-senior,,"Team player, Proactive & innovative mindset"," Qualifications:  Experience with Java, NodeJS, Go & related frameworks; Solid SQL & ORM knowledge; Familiarity with CI/CD & NoSQL databases; Strong understanding of web solutions architecture & microservices; Experience with REST services & cloud environments.. "
Analista de Operações Cripto Pl,Mercado Bitcoin,"Remote:Poland, Brazil",Full remote,3 days ago,https://jobgether.com/offer/666b50047f4fdab8dd66fa4e-analista-de-operacoes-cripto-pl,,"Team player, Continuous learner"," Qualifications:  Complete college degree, Intermediate Excel and BI knowledge, Experience in Financial Institutions. "
DATA ANALYST III,Bemol Digital,Remote:Brazil,Full remote,3 days ago,https://jobgether.com/offer/666b490d7f4fdab8dd6620c5-data-analyst-iii,Mid-level (2-5 years),"Effective communication, Team player, Adaptability, Problem-solving, Results orientation"," Qualifications:  Bachelor's degree in Engineering, Economics, Statistics, Computer Science, Mathematics or related fields, 2+ years of analytics experience in Retail industry or 4+ years of analytics experience in Retail industry. "
Virtual Property Claims Specialist (Remote),Selective Insurance,71 - 112KRemote:United States,Full remote,3 days ago,https://jobgether.com/offer/666b88307f4fdab8dd6b5dfd-virtual-property-claims-specialist-remote,Senior (5-10 years),"Team player, Effective communication skills"," Qualifications:  College degree preferred, 5 years claims experience preferred. "
Traveling PRS Case Workers Lev. 2 Bilingual (Spanish and English),Rite of Passage,Remote:United States,Full remote,3 days ago,https://jobgether.com/offer/666b88307f4fdab8dd6b5dd3-traveling-prs-case-workers-lev.-2-bilingual-spanish-and-english,Junior (1-2 years),"Excellent clinical and crisis intervention skills, Strong communication and analytical skills, time management"," Qualifications:  Bachelor’s Degree in Social Work, Psychology, or Sociology, Fluency in Spanish, child welfare experience. "
Sr. QA Specialist,"BioCryst Pharmaceuticals, Inc.",Remote:United States,Full remote,3 days ago,https://jobgether.com/offer/666b882e7f4fdab8dd6b5d5f-sr.-qa-specialist,Senior (5-10 years),"Team player committed to quality., Strong written and oral communication skills."," Qualifications:  Bachelor's degree required., Minimum 5 years of pharmaceutical experience., US and European GMP knowledge.. "
Senior Substation P&C Engineer - Remote Eligible,"Mesa Associates, Inc",96 - 171KRemote:United States,Full remote,3 days ago,https://jobgether.com/offer/666b882e7f4fdab8dd6b5d3d-senior-substation-p-c-engineer---remote-eligible,Mid-level (2-5 years),"Strong communication skills, Effective team player, Analytical thinking"," Qualifications:  15+ years of substation design experience, Proficiency with Microsoft Office and AutoCAD, Strong knowledge of high-voltage substations. "
Senior Physical Substation Engineer - Remote Eligible,"Mesa Associates, Inc",96 - 171KRemote:United States,Full remote,3 days ago,https://jobgether.com/offer/666b882d7f4fdab8dd6b5d33-senior-physical-substation-engineer---remote-eligible,Mid-level (2-5 years),"Team player, Excellent communication and interpersonal skills"," Qualifications:  Minimum 15 years experience in substation design, Proficiency in AutoCAD and Microsoft Office software. "
Resource Coordinator,ECI,Remote:United States,Full remote,3 days ago,https://jobgether.com/offer/666b882c7f4fdab8dd6b5cdf-resource-coordinator,Junior (1-2 years),"Outstanding customer service orientation, Proactive and self-motivated team player"," Qualifications:  BA/BS in business or equivalent work experience, Excellent customer service and communication skills, Familiarity with MS Office suite. "
RCMO Patient Account Rep II - AR-Remote Opportunity,University of Maryland Faculty Physicians Incorporated,Remote:United States,Full remote,3 days ago,https://jobgether.com/offer/666b882c7f4fdab8dd6b5ccb-rcmo-patient-account-rep-ii---ar-remote-opportunity,Mid-level (2-5 years),," Qualifications:  High school diploma or GED, 2-3 years experience in physician billing office, Knowledge of GE, EPIC or similar billing system. "
Physician Relationship Manager - Remote Local to South Florida Required,"Surgery Partners, Inc",Remote:United States,Full remote,3 days ago,https://jobgether.com/offer/666b882a7f4fdab8dd6b5c6d-physician-relationship-manager---remote-local-to-south-florida-required,Junior (1-2 years),"Strong leadership, exceptional communication, customer service-oriented, resourceful, team player"," Qualifications:  Bachelor’s Degree required in Business, Marketing, Communication or Healthcare administration, 1-2 years proven outside sales experience required; healthcare experience preferred. "
General Liability Claims Specialist - West/Heartland Region (Remote),Selective Insurance,71 - 112KRemote:United States,Full remote,3 days ago,https://jobgether.com/offer/666b88257f4fdab8dd6b5b35-general-liability-claims-specialist---west-heartland-region-remote,,"Strong time management skills, Excellent negotiation abilities, Independent self-starter, Analytical judgement and decision-making"," Qualifications:  College degree preferred, Minimum 3 years claim experience, Adjusters License preferred, Effective communication skills, Strong problem-solving abilities. "
"Fundraising Support Temp (Fully Remote within Orlando, FL)",March of Dimes,Remote:United States,Full remote,3 days ago,https://jobgether.com/offer/666b88257f4fdab8dd6b5b2b-fundraising-support-temp-fully-remote-within-orlando-fl,,"Positive attitude, excellent communication skills"," Qualifications:  High School Diploma or GED, Reliable cell phone and car. "
"Fundraising Support Temp (Fully Remote within Gainesville, FL)",March of Dimes,Remote:United States,Full remote,3 days ago,https://jobgether.com/offer/666b88257f4fdab8dd6b5b23-fundraising-support-temp-fully-remote-within-gainesville-fl,,"Professional and energetic demeanor, Effective communication and presentation skills"," Qualifications:  High School Diploma or GED, Must have reliable cell phone and car. "
Experienced Proofreader - Remote Opportunity! (This is a part-time Temporary Assignment),Road Scholar,Remote:United States,Full remote,3 days ago,https://jobgether.com/offer/666b88257f4fdab8dd6b5b0a-experienced-proofreader---remote-opportunity-this-is-a-part-time-temporary-assignment,,"Detail-oriented team player, Strong organizational and problem-solving skills, Creative thinker with diplomatic skills"," Qualifications:  2-5 years in marketing or communications, Bachelor’s degree in relevant field, Obsessive writing and editing skills. "
Architectural Historian,EBI Consulting,70 - 80KRemote:United States,Full remote,3 days ago,https://jobgether.com/offer/666b88217f4fdab8dd6b5a09-architectural-historian,,"Detail-oriented and deadline-driven, Collaborative team player"," Qualifications:  Master’s in Historic Preservation or related field preferred, Understanding of Section 106 compliance process. "
"Administrative Clinical Support Specialist I (Full-Time Remote, North Carolina)",Alliance Health,38 - 48KRemote:United States,Full remote,3 days ago,https://jobgether.com/offer/666b88207f4fdab8dd6b59d9-administrative-clinical-support-specialist-i-full-time-remote-north-carolina,,"Organized workflow, Analytical thinking, Effective communication, Collaborative team player"," Qualifications:  High School diploma, 4 years related experience. "
Customer Experience Manager (remote),Presidio,Remote:United States,Full remote,3 days ago,https://jobgether.com/offer/666b652b7f4fdab8dd6a2fdf-customer-experience-manager-remote,Senior (5-10 years),"Advanced communication skills, Effective listening and questioning abilities"," Qualifications:  Bachelor’s degree or equivalent experience, 5+ years of Customer Experience Management in IT. "
(Remote) Senior UX/UI Designer,Aeroflow Health,Remote:United States,Full remote,3 days ago,https://jobgether.com/offer/666b570f7f4fdab8dd67ec87-remote-senior-ux-ui-designer,Senior (5-10 years),"Strong leadership and collaboration skills, Excellent communication and presentation abilities"," Qualifications:  6+ years experience as a UX designer for ecommerce, Able to execute take-home design challenge, provide references. "
Payroll Manager - Remote,PCNA,Remote:United States,Full remote,3 days ago,https://jobgether.com/offer/666b570e7f4fdab8dd67ec77-payroll-manager---remote,,"Analytical problem solver, Detail-oriented team player"," Qualifications:  Bachelor’s degree preferred or equivalent experience, Minimum of three years UKG payroll administration in multi-state environment. "
"Outside Sales Territory Manager - Londonderry, NH",Würth Baer Supply Company,Remote:United States,Full remote,3 days ago,https://jobgether.com/offer/666b570e7f4fdab8dd67ec73-outside-sales-territory-manager---londonderry-nh,Mid-level (2-5 years),"Strong follow-up skills, Highly organized, Proactive and professional, Strong desire to succeed"," Qualifications:  2+ years outside sales experience, Bachelor's degree preferred, Advanced Excel skills, Excellent communication skills. "
"Sr. Security Analyst-Remote, USA (Pacific/Central based applicants preferred)",Ambry Genetics,111 - 160KRemote:United States,Full remote,3 days ago,https://jobgether.com/offer/666b50197f4fdab8dd670239-sr.-security-analyst-remote-usa-pacific-central-based-applicants-preferred,Senior (5-10 years),"Collaborative team player, Clear communicator of technical concepts, Analytical thinker with proactive mindset"," Qualifications:  In-depth technical knowledge of network systems, Understanding of secure software development lifecycles, Strong knowledge of security methodologies and best practices, Min 5 years of enterprise security experience in Fortune 500, Bachelor's degree in relevant field or equivalent experience. "
"RN, Care Manager",VIVA HEALTH,Remote:United States,Full remote,3 days ago,https://jobgether.com/offer/666b50157f4fdab8dd6700b2-rn-care-manager,,"Excellent customer service skills, Flexibility and adaptability, Strong organizational and time management skills"," Qualifications:  Graduate of an accredited nursing program (ADN/BSN), 3 years of clinical nursing experience, Current RN license in good standing, Valid driver's license. "
Proposal & Sales Support Specialist – Government Bids,LION,Remote:United States,Full remote,3 days ago,https://jobgether.com/offer/666b50147f4fdab8dd670084-proposal-sales-support-specialist---government-bids,Mid-level (2-5 years),"Strong communication and interpersonal skills., Great team player and self-motivated., Excellent organizational and time management."," Qualifications:  Bachelor’s degree preferred in Business, Marketing., 2+ years experience in similar role., Strong knowledge of CRM software.. "
Principal Engineer,Frontline Education,Remote:United States,Full remote,3 days ago,https://jobgether.com/offer/666b50137f4fdab8dd67003a-principal-engineer,Expert & Leadership (>10 years),"Effective communication skills, Proactive leadership and mentorship"," Qualifications:  Bachelor’s Degree in Computer Science or related field; equivalent experience, 10+ years of Software Development experience. "
Credentialing Coordinator (SCAN Temp),SCAN,45 - 72KRemote:United States,Full remote,3 days ago,https://jobgether.com/offer/666b50087f4fdab8dd66fbc3-credentialing-coordinator-scan-temp,Mid-level (2-5 years),"Organization, Communication, Customer service, Proactivity, Team player"," Qualifications:  Associate's Degree or equivalent, 3+ years Healthcare/managed care exp., Proficiency in data entry, Strong organizational and interpersonal skills, Excellent communication abilities. "
Accounts Receivable Specialist (Temporary),Advarra,Remote:United States,Full remote,3 days ago,https://jobgether.com/offer/666b50047f4fdab8dd66fa20-accounts-receivable-specialist-temporary,,"Excellent communication skills, Detail-oriented & goal-oriented, Organization and problem-solving skills, Multitasking & prioritization abilities, Strong team player & proactive attitude"," Qualifications:  Associate's Degree, Accounting certificate or degree preferred, B2B work experience preferred, Knowledge of credit and collections. "
"Full Stack Java Developer, Applications Developer",Alpha Omega,Remote:United States,Full remote,3 days ago,https://jobgether.com/offer/666b490d7f4fdab8dd6620fb-full-stack-java-developer-applications-developer,Senior (5-10 years),"Collaborative team player, Analytical and problem-solving skills"," Qualifications:  5+ years' Java Development experience, Experience with Oracle JDK, OpenJDK, Proficient in data structure, algorithms, SQL, Strong Expertise with back-end technologies, Experience in Web Application development. "
Principal Software Test Engineer - NASA (REMOTE),INNOVIM,Remote:United States,Full remote,3 days ago,https://jobgether.com/offer/666b490d7f4fdab8dd6620f7-principal-software-test-engineer---nasa-remote,Senior (5-10 years),"Agile and proactive team player, Excellent communication and collaboration skills"," Qualifications:  6+ years experience as a Software Test Engineer, Experience with SDLC, Agile/Scrum, and API testing. "
Virtual Career Open House - June 25th & June 27th,DCU Center,Remote:United States,Full remote,3 days ago,https://jobgether.com/offer/666b88307f4fdab8dd6b5df5-virtual-career-open-house---june-25th-june-27th,,"Cultural awareness, Effective communication", Qualifications:  . 
System Design Specialist,Vector Security,Remote:United States,Full remote,3 days ago,https://jobgether.com/offer/666b882f7f4fdab8dd6b5dab-system-design-specialist,Mid-level (2-5 years),"Excellent communication skills, Organized and multitasker, Team player and collaborative, Proactive problem solver, Analytical thinker"," Qualifications:  Bachelor's Degree - Preferred, Advanced knowledge of security systems, Technical training or equivalent experience, NICET and other certifications preferred. "
Seasonal Guest Experience Coordinator (Remote),Getaway,Remote:United States,Full remote,3 days ago,https://jobgether.com/offer/666b882d7f4fdab8dd6b5d17-seasonal-guest-experience-coordinator-remote,Mid-level (2-5 years),"Optimistic problem solver, Crystal-clear communicator, Combat typos effectively, Cool under pressure multitasker, Efficient, proactive, resourceful"," Qualifications:  0-3 years customer service experience, Tech savvy with Zendesk experience preferred. "
Requester Services Specialist - Remote - Part Time,MRO,Remote:United States,Full remote,3 days ago,https://jobgether.com/offer/666b882c7f4fdab8dd6b5cdb-requester-services-specialist---remote---part-time,,"Strong problem-solving skills, Exceptional interpersonal skills, Effective relationship building abilities"," Qualifications:  High School Diploma or higher education, Computer knowledge, accurate data entry skills. "
Proposal Strategist,Cherry Bekaert,60 - 80KRemote:United States,Full remote,3 days ago,https://jobgether.com/offer/666b882c7f4fdab8dd6b5cbd-proposal-strategist,,"Team player with proactive mindset, Excellent communication and collaboration abilities, Detail-oriented and deadline-driven professional"," Qualifications:  Experience in proposal writing and development, Strong writing and project management skills, Proficient in grant writing or business development. "
Paramedic Transfer Coordinator - 3rd Shift (Remote),North Okaloosa Medical Center,Remote:United States,Full remote,3 days ago,https://jobgether.com/offer/666b882a7f4fdab8dd6b5c53-paramedic-transfer-coordinator---3rd-shift-remote,Mid-level (2-5 years),"strong teamwork abilities, effective communication skills"," Qualifications:  3-5 years acute care experience (Preferred in Critical Care or ER settings), Type 38 words/min, Multistate/ Compact Licensure. "
"Medical Economics Sr. Analyst (Full-Time Remote, North Carolina Based)",Alliance Health,66 - 84KRemote:United States,Full remote,3 days ago,https://jobgether.com/offer/666b88297f4fdab8dd6b5c16-medical-economics-sr.-analyst-full-time-remote-north-carolina-based,Senior (5-10 years),"Strong communication skills, Analytical and problem-solving abilities, Independent worker with strong business acumen"," Qualifications:  Bachelor’s Degree in related field, 5+ years experience in finance or analytics. "
"Fundraising Support Temp (Fully Remote within Tallahassee, FL)",March of Dimes,Remote:United States,Full remote,3 days ago,https://jobgether.com/offer/666b88257f4fdab8dd6b5b2f-fundraising-support-temp-fully-remote-within-tallahassee-fl,,"Great customer service skills, Effective communication with stakeholders"," Qualifications:  Must have HS Diploma or GED, Physical Demands: Reliable cell, computer, car. "
"Fundraising Support Temp (Fully Remote within Jacksonville, FL)",March of Dimes,Remote:United States,Full remote,3 days ago,https://jobgether.com/offer/666b88257f4fdab8dd6b5b27-fundraising-support-temp-fully-remote-within-jacksonville-fl,,"Excellent customer service, Effective verbal communication"," Qualifications:  HS Diploma or GED, Reliable cell phone and car. "
Facilities Manager (REMOTE - EAST COAST),Welltower™ Inc. (NYSE:WELL),Remote:United States,Full remote,3 days ago,https://jobgether.com/offer/666b88257f4fdab8dd6b5b12-facilities-manager-remote---east-coast,Senior (5-10 years),"Strong communication and organizational skills, Proactive self-starter, collaborative team player"," Qualifications:  Bachelor’s degree preferred, 6+ years of experience in construction/maintenance, Experience in energy and water saving projects desirable. "
Assistant Director of Admissions - (Remote),MyComputerCareer,Remote:United States,Full remote,3 days ago,https://jobgether.com/offer/666b88217f4fdab8dd6b5a0f-assistant-director-of-admissions---remote,Mid-level (2-5 years),"Excellent communication and social skills, Self-motivated with strong problem-solving abilities"," Qualifications:  Bachelor’s degree or relevant experience, Strong communication and computer skills. "
Adoption Respite Community Support Worker (Lake County),Metropolitan Family Services,Remote:United States,Full remote,3 days ago,https://jobgether.com/offer/666b88207f4fdab8dd6b59e3-adoption-respite-community-support-worker-lake-county,,"Empathetic and supportive demeanor, Strong communication and interpersonal skills"," Qualifications:  Bachelor’s degree, Experience with children or adolescents. "
Inside Sales Representative – Inbound Call Center,Amica Insurance,44 - 58KRemote:United States,Full remote,3 days ago,https://jobgether.com/offer/666b570f7f4fdab8dd67ec7f-inside-sales-representative---inbound-call-center,,"Great communication and interpersonal skills, Proactive multitasker, team player"," Qualifications:  High school diploma or equivalent, Sales and customer service experience, Excellent communication and interpersonal skills, Able to multitask with computer systems and phone calls. "
Finance Integration Project Manager - Remote Opportunity,"Surgery Partners, Inc",Remote:United States,Full remote,3 days ago,https://jobgether.com/offer/666b570e7f4fdab8dd67ec6d-finance-integration-project-manager---remote-opportunity,Mid-level (2-5 years),"Analytical problem solving, Exceptional communication skills"," Qualifications:  3+ years related experience, Bachelor's degree in finance/accounting, MBA or CPA highly preferred, Strong computer and analytical skills. "
Information Technology Engineer II,Advarra,61 - 104KRemote:United States,Full remote,3 days ago,https://jobgether.com/offer/666b500d7f4fdab8dd66fdb3-information-technology-engineer-ii,Mid-level (2-5 years),"Strong organization and multi-tasking skills, Excellent customer service and communication abilities"," Qualifications:  Bachelor's degree or equivalent experience, 3-5 years of end user support. "
Senior Web Developer,Titan Technologies,Remote:United States,Full remote,3 days ago,https://jobgether.com/offer/666b490d7f4fdab8dd6620e4-senior-web-developer,Senior (5-10 years),"Excellent communication skills, Great analytical thinking abilities"," Qualifications:  Senior level C# programming skills, Experience with SQL, UI, and web functions. "
Compliance Advisor/Associate Director – Advertising Guidance,National Life Group,Remote:United States,Full remote,3 days ago,https://jobgether.com/offer/666b490d7f4fdab8dd6620d1-compliance-advisor-associate-director---advertising-guidance,,"Team player, Strong communicator, Excellent problem solver, Professionalism in sensitive matters, Adaptable in fast-paced environment"," Qualifications:  Bachelor’s degree or equivalent combination of education and experience, Extensive experience in Fixed Life Insurance Annuity industry, 5+ years in reviewing life and annuity advertising materials, FINRA Series 7 and 24 registrations, LOMA certifications preferred, Strong collaboration skills, ability to work effectively in a team environment and with leaders at all levels, Excellent written communication, research, interpretation, and problem-solving abilities. "
ANALISTA DESENVOLVEDOR JAVA SR,CVC CORP,"Remote:Suriname, Brazil",Full remote,3 days ago,https://jobgether.com/offer/666b3afc7f4fdab8dd6456d1-analista-desenvolvedor-java-sr,Mid-level (2-5 years),"Continual learner, Effective communicator, Collaborative team player"," Qualifications:  Quality-focused with Java experience, Knowledge of microservices and REST APIs, Experience with Agile processes like SCRUM, Familiarity with Clean Code principles. "
Assistente de Pré Vendas - SDR,Doc9,"Remote:Brazil, Delaware (USA)",Full remote,3 days ago,https://jobgether.com/offer/666b3afc7f4fdab8dd6456cd-assistente-de-pre-vendas---sdr,,"Team player, Resilient and proactive listener"," Qualifications:  Good communication skills, Negotiation and organization capabilities. "
